timestamp,device_id,data_type,data_value,numeric_value
2026-05-31 01:54:45,PKG7545,Location,Naha Central Post Office,0.0
2026-05-31 01:54:45,PKG7545,Status,Out for Delivery,0.0
2026-05-31 01:54:46,PKG2659,Location,Nagoya Central Post Office,0.0
2026-05-31 01:54:46,PKG2659,Status,Arrival,0.0
2026-05-31 01:54:46,PKG7965,Location,Nagoya Central Post Office,0.0
2026-05-31 01:54:46,PKG7965,Status,Storage,0.0
2026-05-31 01:54:46,PKG5296,Location,Sapporo Central Post Office,0.0
2026-05-31 01:54:46,PKG5296,Status,Delivered to the delivery address,0.0
2026-05-31 01:54:47,PKG9987,Location,Yokohama Sales Office,0.0
2026-05-31 01:54:47,PKG9987,Status,Bring it back due to your absence,0.0
2026-05-31 01:54:47,PKG8392,Location,Nagoya Central Post Office,0.0
2026-05-31 01:54:47,PKG8392,Status,Hold at Yamato,0.0
2026-05-31 01:54:47,PKG2808,Location,Naha Central Post Office,0.0
2026-05-31 01:54:48,PKG2808,Status,Delay,0.0
2026-05-31 01:54:48,PKG1749,Location,Fukuoka Distribution Center,0.0
2026-05-31 01:54:48,PKG1749,Status,Arrival,0.0
2026-05-31 01:54:48,PKG1803,Location,Sapporo Central Post Office,0.0
2026-05-31 01:54:49,PKG1803,Status,Hand it over at the window,0.0
2026-05-31 01:54:49,PKG2151,Location,Yokohama Sales Office,0.0
2026-05-31 01:54:49,PKG2151,Status,In Transit,0.0
2026-05-31 01:54:50,PKG2585,Location,Yokohama Sales Office,0.0
2026-05-31 01:54:50,PKG2585,Status,Arrival Scan,0.0
2026-05-31 01:54:50,PKG7157,Location,Yokohama Sales Office,0.0
2026-05-31 01:54:50,PKG7157,Status,Hand it over at the window,0.0
2026-05-31 01:54:51,PKG5612,Location,Naha Central Post Office,0.0
2026-05-31 01:54:51,PKG5612,Status,Bring it back due to your absence,0.0
2026-05-31 01:54:51,PKG2377,Location,Osaka Central Post Office,0.0
2026-05-31 01:54:52,PKG2377,Status,Returned,0.0
2026-05-31 01:54:52,PKG3244,Location,Fukuoka Distribution Center,0.0
2026-05-31 01:54:53,PKG3244,Status,Returned,0.0
2026-05-31 01:54:53,PKG4196,Location,Naha Central Post Office,0.0
2026-05-31 01:54:53,PKG4196,Status,Storage,0.0
2026-05-31 01:54:54,PKG8850,Location,Nagoya Central Post Office,0.0
2026-05-31 01:54:54,PKG8850,Status,Delivered,0.0
2026-05-31 01:54:54,PKG8659,Location,Fukuoka Distribution Center,0.0
